,Closing Price (Yen),discount_rate
517,152.99999999999997,5.11
518,154.27,5.11
519,154.07,5.84
520,154.7,5.84
521,157.87,5.84
522,161.12,5.84
523,162.73,5.84
524,162.12,5.84
525,157.27,5.84
526,157.23,5.84
527,159.89000000000001,5.84
528,159.23,5.84
529,159.25000000000003,5.84
530,159.55,5.84
531,160.96,5.84
532,161.04,5.84
533,162.9,5.84
534,162.13,5.84
535,164.25,5.84
536,164.89,5.84
537,165.71,5.84
538,164.87000000000003,5.84
539,165.45,5.84
540,168.63,5.84
541,168.87,5.84
542,170.32,5.84
543,165.63,5.84
544,164.8,5.84
545,165.09,5.84
546,165.17,5.84
547,163.07,5.84
548,160.06,5.84
549,159.68,5.84
550,159.67,5.84
551,159.19,5.84
552,161.47000000000003,5.84
553,162.42,5.84
554,162.23,5.84
555,162.92,5.84
556,162.78999999999996,5.84
557,162.08,5.84
558,162.37,5.84
559,162.33000000000004,5.84
560,161.64,5.84
561,159.45,5.84
562,157.26000000000002,5.84
563,155.69,5.84
564,153.77,5.84
565,153.59,5.84
566,156.04,5.84
567,155.48,5.84
568,156.35000000000002,5.84
569,157.34999999999997,5.84
570,159.29,5.84
571,159.93000000000004,5.84
572,159.29,5.84
573,159.45,5.84
574,159.38,5.84
575,160.06999999999996,5.84
576,160.88,5.84
577,160.97,5.84
578,159.59,5.84
579,158.82,5.84
580,158.86,5.84
581,158.85,5.84
582,158.58,5.84
583,158.42,5.84
584,157.06,5.84
585,157.56,5.84
586,158.8,5.84
587,160.03,5.84
588,159.9,5.84
589,160.55,5.84
590,161.18,5.84
591,162.31,5.84
592,163.98,5.84
593,166.06,5.84
594,167.8,5.84
595,169.5,5.84
596,168.63999999999996,5.84
597,168.7,5.84
598,170.73,5.84
599,173.66999999999996,5.84
600,174.85,5.84
601,174.92,5.84
602,177.37,5.84
603,179.39,5.84
604,180.45,5.84
605,177.19,5.84
606,177.41,5.84
607,180.96000000000004,5.84
608,180.22,5.84
609,183.16,5.84
610,183.01,5.84
611,184.26999999999998,5.84
612,185.56,5.84
613,188.68,5.84
614,186.36,5.84
615,187.44999999999996,5.84
616,188.96,5.84
617,190.77,5.84
618,192.76,5.84
619,191.7,5.84
620,189.87,5.84
621,190.64,5.84
622,193.29,5.84
623,192.2,5.84
624,192.79,5.84
625,189.70999999999998,5.84
626,189.93,5.84
627,191.83,5.84
628,190.73,5.84
629,187.80999999999997,5.84
630,187.38,5.84
631,187.7,5.84
632,189.04,5.84
633,190.06,5.84
634,189.23,5.84
635,185.8,5.84
636,186.43,5.84
637,184.67999999999998,5.84
638,183.9,5.84
639,180.77,5.84
640,180.3,5.84
641,181.4,5.84
642,182.15,5.84
643,184.22999999999996,5.84
644,185.38,5.84
645,184.26999999999998,5.84
646,185.81000000000003,5.84
647,187.23,5.84
648,188.08,5.84
649,187.98,5.84
650,188.5,5.84
651,188.26000000000002,5.84
652,186.52,5.84
653,186.02,5.84
654,186.61,5.84
655,185.17999999999998,5.84
656,183.25,5.84
657,180.65,5.84
658,182.09999999999997,5.84
659,181.67,5.84
660,180.5,5.84
661,179.92,5.84
662,179.91,5.84
663,181.48,5.84
664,176.23,5.84
665,175.01,5.84
666,175.51,5.84
667,175.99,5.84
668,177.36,5.84
